mean  	sigma	
3.03899 1.52411
3.05299	1.59516
3.07331	1.50934
2.98101	1.50722
2.93986	1.52822
2.99044	1.50281
2.95366	1.47811
2.99777	1.5027
3.04796	1.52263
3.09528	1.49275
3.04571	1.49438
3.0769	1.47799
3.01699	1.51385
2.98719	1.52035
2.97245	1.53189
3.04972	1.47749
2.94276	1.55859
2.93403	1.59498
2.98739	1.54052
3.02184	1.56742
3.00474	1.51728
3.00346	1.55484
3.0322	1.54026
3.02501	1.53355
3.00881	1.45706
2.95897	1.51307
3.01431	1.49677
2.90574	1.52707
3.01999	1.51636
3.00814	1.52599
3.04137	1.50083
3.01589	1.52415
3.03994	1.5714
2.95601	1.5958
3.02676	1.61926
2.9799	1.61363
3.09002	1.57069
3.08753	1.52521
3.15314	1.52
3.09932	1.56362
3.10441	1.55634
3.02117	1.56972
2.94967	1.50703
3.04152	1.54126
3.06009	1.55365
3.04626	1.58136
2.98835	1.49489
3.02561	1.50873
2.98656	1.54963
2.94637	1.53735
3.02224	1.49784
3.07493	1.54848
2.98673	1.52608
3.05848	1.49333
3.04538	1.56512
3.01714	1.55743
2.9861	1.48009
2.99998	1.4792
2.96431	1.49828
2.96355	1.48761
3.08032	1.50426
3.03213	1.51451
3.04386	1.53467
3.04231	1.51387
3.00208	1.55845
2.99729	1.52306
3.02226	1.50601
3.03425	1.5699
2.9693	1.55767
2.99262	1.55362
3.06352	1.53528
3.03248	1.59268
3.06986	1.58456
2.96991	1.55322
3.04362	1.5605
3.06483	1.54829
3.03966	1.56235
2.99207	1.59166
3.10506	1.55708
2.97752	1.56298
3.06937	1.53912
3.03223	1.47565
2.96922	1.51722
3.02723	1.54436
3.07719	1.50581
3.02198	1.50644
3.02083	1.56755
2.94406	1.48689
3.01799	1.44483
3.12192	1.49338
3.00506	1.61827
2.9803	1.54873
2.95677	1.5532
2.97144	1.56458
3.06772	1.54087
3.00856	1.53585
3.07391	1.50356
3.05064	1.58468
3.00149	1.59767
3.02757	1.46903
3.02545	1.54617
